School Name,District,Total Enrollment (Final)
Dewitt Elementary School,DEWITT SCHOOL DISTRICT,515
Dewitt Middle School,DEWITT SCHOOL DISTRICT,285
Dewitt High School,DEWITT SCHOOL DISTRICT,390
Gillett Elementary School,DEWITT SCHOOL DISTRICT,79
Park Avenue Elementary School,STUTTGART SCHOOL DISTRICT,633
Meekins Middle School,STUTTGART SCHOOL DISTRICT,220
Stuttgart High School,STUTTGART SCHOOL DISTRICT,457
Stuttgart Junior High School,STUTTGART SCHOOL DISTRICT,237
Crossett Elementary School,CROSSETT SCHOOL DISTRICT,710
Crossett High School,CROSSETT SCHOOL DISTRICT,493
Crossett Middle School,CROSSETT SCHOOL DISTRICT,511
Hamburg Middle School,HAMBURG SCHOOL DISTRICT,399
Hamburg High School,HAMBURG SCHOOL DISTRICT,561
Noble/Allbritton Elementary Sc,HAMBURG SCHOOL DISTRICT,722
Portland Elementary School,HAMBURG SCHOOL DISTRICT,133
Amanda Gist Elementary School,COTTER SCHOOL DISTRICT,400
Cotter High School,COTTER SCHOOL DISTRICT,276
Nelson Wilks Herron Elementary,MOUNTAIN HOME SCHOOL DISTRICT,560
Pinkston Middle School,MOUNTAIN HOME SCHOOL DISTRICT,601
Mountain Home Kindergarten,MOUNTAIN HOME SCHOOL DISTRICT,251
Mountain Home Jr. High School,MOUNTAIN HOME SCHOOL DISTRICT,299
Hackler Intermediate School,MOUNTAIN HOME SCHOOL DISTRICT,916
Mountain Home Career Academies,MOUNTAIN HOME SCHOOL DISTRICT,1152
Norfork Elementary School,NORFORK SCHOOL DISTRICT,232
Norfork High School,NORFORK SCHOOL DISTRICT,205
Thomas Jefferson Elem. School,BENTONVILLE SCHOOL DISTRICT,537
Washington Junior High School,BENTONVILLE SCHOOL DISTRICT,721
Bentonville High School,BENTONVILLE SCHOOL DISTRICT,3395
R.E. Baker Elementary School,BENTONVILLE SCHOOL DISTRICT,568
Old High Middle School,BENTONVILLE SCHOOL DISTRICT,617
Sugar Creek Elementary School,BENTONVILLE SCHOOL DISTRICT,499
Apple Glen Elementary School,BENTONVILLE SCHOOL DISTRICT,625
Ardis Ann Middle School,BENTONVILLE SCHOOL DISTRICT,692
Elm Tree Elementary School,BENTONVILLE SCHOOL DISTRICT,650
Lincoln Junior High School,BENTONVILLE SCHOOL DISTRICT,873
Mary Mae Jones Elem. School,BENTONVILLE SCHOOL DISTRICT,616
Central Park At Morning Star,BENTONVILLE SCHOOL DISTRICT,866
Ruth Barker Middle School,BENTONVILLE SCHOOL DISTRICT,635
Centerton Gamble Elementary,BENTONVILLE SCHOOL DISTRICT,797
Cooper Elementary School,BENTONVILLE SCHOOL DISTRICT,658
Willowbrook Elementary School,BENTONVILLE SCHOOL DISTRICT,920
Bright Field Middle School,BENTONVILLE SCHOOL DISTRICT,650
J. William Fulbright Junior High School,BENTONVILLE SCHOOL DISTRICT,887
Bentonville West High School,BENTONVILLE SCHOOL DISTRICT,1243
Decatur Northside Elementary,DECATUR SCHOOL DISTRICT,248
Decatur High School,DECATUR SCHOOL DISTRICT,142
Decatur Middle School,DECATUR SCHOOL DISTRICT,155
Gentry Intermediate School,GENTRY SCHOOL DISTRICT,356
Gentry Middle School,GENTRY SCHOOL DISTRICT,301
Gentry Primary School,GENTRY SCHOOL DISTRICT,315
Gentry High School Conversion Charter,GENTRY SCHOOL DISTRICT,459
Gravette High School,GRAVETTE SCHOOL DISTRICT,574
Glenn Duffy Elementary School,GRAVETTE SCHOOL DISTRICT,424
Gravette Middle School,GRAVETTE SCHOOL DISTRICT,448
Gravette Upper Elementary,GRAVETTE SCHOOL DISTRICT,425
Eastside Elementary School,ROGERS SCHOOL DISTRICT,482
Garfield Elementary School,ROGERS SCHOOL DISTRICT,132
Lowell Elementary School,ROGERS SCHOOL DISTRICT,451
Northside Elementary School,ROGERS SCHOOL DISTRICT,507
Westside Elementary School,ROGERS SCHOOL DISTRICT,491
Elmwood Middle School,ROGERS SCHOOL DISTRICT,765
Oakdale Middle School,ROGERS SCHOOL DISTRICT,817
Grace Hill Elementary School,ROGERS SCHOOL DISTRICT,440
Bonnie Grimes Elem. School,ROGERS SCHOOL DISTRICT,480
Reagan Elementary School,ROGERS SCHOOL DISTRICT,476
Frank Tillery Elem. School,ROGERS SCHOOL DISTRICT,626
Joe Mathias Elementary School,ROGERS SCHOOL DISTRICT,553
Kirksey Middle School,ROGERS SCHOOL DISTRICT,935
Lingle Middle School,ROGERS SCHOOL DISTRICT,932
Bellview Elementary,ROGERS SCHOOL DISTRICT,427
Rogers High School,ROGERS SCHOOL DISTRICT,2013
Jones Elementary School,ROGERS SCHOOL DISTRICT,525
Elza R. Tucker Elem. School,ROGERS SCHOOL DISTRICT,626
Old Wire Elementary School,ROGERS SCHOOL DISTRICT,558
Rogers Heritage High School,ROGERS SCHOOL DISTRICT,1868
Janie Darr Elementary School,ROGERS SCHOOL DISTRICT,600
Rogers New Technology High School,ROGERS SCHOOL DISTRICT,626
Siloam Springs Intermediate School,SILOAM SPRINGS SCHOOL DISTRICT,606
Northside Elementary School,SILOAM SPRINGS SCHOOL DISTRICT,328
Southside Elementary School,SILOAM SPRINGS SCHOOL DISTRICT,640
"Delbert ""pete"" & Pat Allen Ele",SILOAM SPRINGS SCHOOL DISTRICT,630
Siloam Springs Middle School,SILOAM SPRINGS SCHOOL DISTRICT,659
Siloam Springs High School Conversion Charter,SILOAM SPRINGS SCHOOL DISTRICT,1299
Pea Ridge Primary School,PEA RIDGE SCHOOL DISTRICT,456
Pea Ridge Intermediate School,PEA RIDGE SCHOOL DISTRICT,446
Pea Ridge High School,PEA RIDGE SCHOOL DISTRICT,514
Pea Ridge Middle School,PEA RIDGE SCHOOL DISTRICT,515
Pea Ridge Manufacturing & Business Academy,PEA RIDGE SCHOOL DISTRICT,129
Arkansas Arts Academy Elementary/Middle School,ARKANSAS ARTS ACADEMY,562
Arkansas Arts Academy High School,ARKANSAS ARTS ACADEMY,215
Northwest Arkansas Classical Academy,RESPONSIVE ED SOLUTIONS NORTHWEST ARK CLASSICAL ACADEMY,498
Northwest Arkansas Classical Academy High,RESPONSIVE ED SOLUTIONS NORTHWEST ARK CLASSICAL ACADEMY,56
Haas Hall Academy Bentonville,HAAS HALL BENTONVILLE,283
Arkansas Connections Academy Elementary,ARKANSAS CONNECTIONS ACADEMY,214
Arkansas Connections Academy High,ARKANSAS CONNECTIONS ACADEMY,268
Alpena Elementary School,ALPENA SCHOOL DISTRICT,283
Alpena High School,ALPENA SCHOOL DISTRICT,229
Bergman Elementary School,BERGMAN SCHOOL DISTRICT,407
Bergman High School,BERGMAN SCHOOL DISTRICT,340
Bergman Middle School,BERGMAN SCHOOL DISTRICT,325
Eagle Heights Elem. School,HARRISON SCHOOL DISTRICT,159
Forest Heights Elem. School,HARRISON SCHOOL DISTRICT,413
Skyline Heights Elem. School,HARRISON SCHOOL DISTRICT,359
Woodland Heights Elem. School,HARRISON SCHOOL DISTRICT,111
Harrison Jr. High School,HARRISON SCHOOL DISTRICT,596
Harrison High School,HARRISON SCHOOL DISTRICT,582
Harrison Middle School,HARRISON SCHOOL DISTRICT,404
Omaha Elementary School,OMAHA SCHOOL DISTRICT,211
Omaha High School,OMAHA SCHOOL DISTRICT,165
Valley Springs Elem. School,VALLEY SPRINGS SCHOOL DISTRICT,313
Valley Springs High School,VALLEY SPRINGS SCHOOL DISTRICT,264
Valley Springs Middle School,VALLEY SPRINGS SCHOOL DISTRICT,301
Lead Hill Elementary School,LEAD HILL SCHOOL DISTRICT,196
Lead Hill High School,LEAD HILL SCHOOL DISTRICT,158
Hermitage Elementary School,HERMITAGE SCHOOL DISTRICT,235
Hermitage High School,HERMITAGE SCHOOL DISTRICT,190
Eastside New Vision Charter Sc,WARREN SCHOOL DISTRICT,526
Warren Middle School,WARREN SCHOOL DISTRICT,364
Warren High School District Conversion Charter,WARREN SCHOOL DISTRICT,439
Brunson New Vision Charter School,WARREN SCHOOL DISTRICT,242
Hampton Elementary School,HAMPTON SCHOOL DISTRICT,307
Hampton High School,HAMPTON SCHOOL DISTRICT,267
Berryville Elementary School,BERRYVILLE SCHOOL DISTRICT,451
Berryville High School,BERRYVILLE SCHOOL DISTRICT,568
Berryville Middle School,BERRYVILLE SCHOOL DISTRICT,453
Berryville Intermediate Sch,BERRYVILLE SCHOOL DISTRICT,458
Eureka Springs Elem. School,EUREKA SPRINGS SCHOOL DISTRICT,234
Eureka Springs High School,EUREKA SPRINGS SCHOOL DISTRICT,189
Eureka Springs Middle School,EUREKA SPRINGS SCHOOL DISTRICT,185
Green Forest Elementary School,GREEN FOREST SCHOOL DISTRICT,404
Green Forest High School,GREEN FOREST SCHOOL DISTRICT,367
Green Forest Intermed School,GREEN FOREST SCHOOL DISTRICT,498
Dermott Elementary School,DERMOTT SCHOOL DISTRICT,216
Dermott High School,DERMOTT SCHOOL DISTRICT,144
Eudora Elementary School,LAKESIDE SCHOOL DIST(CHICOT),123
Lakeside Elementary School,LAKESIDE SCHOOL DIST(CHICOT),396
Lakeside Middle School,LAKESIDE SCHOOL DIST(CHICOT),219
Lakeside High School,LAKESIDE SCHOOL DIST(CHICOT),263
Central Primary School,ARKADELPHIA SCHOOL DISTRICT,306
Louisa Perritt Primary,ARKADELPHIA SCHOOL DISTRICT,280
Peake Elementary School,ARKADELPHIA SCHOOL DISTRICT,283
Goza Middle School,ARKADELPHIA SCHOOL DISTRICT,425
Arkadelphia High School,ARKADELPHIA SCHOOL DISTRICT,515
Gurdon Primary School,GURDON SCHOOL DISTRICT,294
Cabe Middle School,GURDON SCHOOL DISTRICT,208
Gurdon High School,GURDON SCHOOL DISTRICT,189
Corning High School,CORNING SCHOOL DISTRICT,399
Central Elementary School,CORNING SCHOOL DISTRICT,282
Park Elementary School,CORNING SCHOOL DISTRICT,208
Piggott Elementary School,PIGGOTT SCHOOL DISTRICT,448
Piggott High School,PIGGOTT SCHOOL DISTRICT,400
Rector Elementary School,RECTOR SCHOOL DISTRICT,324
Rector High School,RECTOR SCHOOL DISTRICT,258
Concord Elementary School,CONCORD SCHOOL DISTRICT,232
Concord High School,CONCORD SCHOOL DISTRICT,212
Heber Springs Elem. School,HEBER SPRINGS SCHOOL DISTRICT,802
Heber Springs High School,HEBER SPRINGS SCHOOL DISTRICT,512
Heber Springs Middle School,HEBER SPRINGS SCHOOL DISTRICT,398
Quitman Elementary School,QUITMAN SCHOOL DISTRICT,338
Quitman High School,QUITMAN SCHOOL DISTRICT,336
West Side Elementary School,WEST SIDE SCHOOL DIST(CLEBURNE),230
West Side High School,WEST SIDE SCHOOL DIST(CLEBURNE),205
Woodlawn Elementary School,WOODLAWN SCHOOL DISTRICT,312
Woodlawn High School,WOODLAWN SCHOOL DISTRICT,264
Kingsland Elementary School,CLEVELAND COUNTY SCHOOL DISTRICT,103
Rison Elementary School,CLEVELAND COUNTY SCHOOL DISTRICT,283
Rison High School,CLEVELAND COUNTY SCHOOL DISTRICT,450
Central Elementary School,MAGNOLIA SCHOOL DISTRICT,617
East Side Elementary School,MAGNOLIA SCHOOL DISTRICT,919
Magnolia Jr. High School,MAGNOLIA SCHOOL DISTRICT,617
Magnolia High School,MAGNOLIA SCHOOL DISTRICT,595
Walker Pre-K Center,N/A,N/A
Emerson Elementary School,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,172
Emerson High School,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,124
Bradley Elementary School,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,153
Bradley High School,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,160
Taylor Elementary School,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,241
Taylor High School,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,156
Nemo Vista Elementary School,NEMO VISTA SCHOOL DISTRICT,180
Nemo Vista High School,NEMO VISTA SCHOOL DISTRICT,144
Nemo Vista Middle School,NEMO VISTA SCHOOL DISTRICT,92
Wonderview Elementary School,WONDERVIEW SCHOOL DISTRICT,268
Wonderview High School,WONDERVIEW SCHOOL DISTRICT,193
Morrilton Elementary School,SOUTH CONWAY COUNTY SCHOOL DISTRICT,366
Morrilton Intermediate School,SOUTH CONWAY COUNTY SCHOOL DISTRICT,502
Morrilton Primary School,SOUTH CONWAY COUNTY SCHOOL DISTRICT,365
Morrilton Sr. High School,SOUTH CONWAY COUNTY SCHOOL DISTRICT,668
Morrilton Junior High School,SOUTH CONWAY COUNTY SCHOOL DISTRICT,332
Bay Elementary School,BAY SCHOOL DISTRICT,319
Bay High School,BAY SCHOOL DISTRICT,265
Westside High School,WESTSIDE CONS. SCH DIST(CRAIGH,677
Westside Elementary School,WESTSIDE CONS. SCH DIST(CRAIGH,653
Westside Middle School,WESTSIDE CONS. SCH DIST(CRAIGH,374
Brookland Elementary School,BROOKLAND SCHOOL DISTRICT,601
Brookland High School,BROOKLAND SCHOOL DISTRICT,434
Brookland Middle School,BROOKLAND SCHOOL DISTRICT,759
Brookland Junior High School,BROOKLAND SCHOOL DISTRICT,518
Buffalo Is. Central West Elem.,BUFFALO IS. CENTRAL SCH. DIST.,245
Buffalo Is. Central East Elem.,BUFFALO IS. CENTRAL SCH. DIST.,175
Buffalo Is. Central Jhs,BUFFALO IS. CENTRAL SCH. DIST.,177
Buffalo Is. Central Hs,BUFFALO IS. CENTRAL SCH. DIST.,165
Early Childhood Learning Cntr,N/A,N/A
Math & Science Magnet School,JONESBORO SCHOOL DISTRICT,639
Visual & Performing Art Magnet,JONESBORO SCHOOL DISTRICT,704
Health/Wellness Envi Magnet,JONESBORO SCHOOL DISTRICT,622
International Studies Magnet,JONESBORO SCHOOL DISTRICT,466
Microsociety Magnet School,JONESBORO SCHOOL DISTRICT,519
Annie Camp Jr. High School,JONESBORO SCHOOL DISTRICT,655
Douglas MacArthur Jhs,JONESBORO SCHOOL DISTRICT,666
Kindergarten Center,JONESBORO SCHOOL DISTRICT,540
The Academies At Jonesboro High School,JONESBORO SCHOOL DISTRICT,1143
Fox Meadow Elementary,NETTLETON SCHOOL DISTRICT,412
University Hgts. Elem. School,NETTLETON SCHOOL DISTRICT,402
Nettleton Junior High School,NETTLETON SCHOOL DISTRICT,529
Nettleton High School,NETTLETON SCHOOL DISTRICT,945
University Heights Intermediate School,NETTLETON SCHOOL DISTRICT,402
Fox Meadow Intermediate Center,NETTLETON SCHOOL DISTRICT,371
Nettleton Middle School,NETTLETON SCHOOL DISTRICT,233
Valley View Elementary School,VALLEY VIEW SCHOOL DISTRICT,636
Valley View High School,VALLEY VIEW SCHOOL DISTRICT,564
Valley View Intermediate School,VALLEY VIEW SCHOOL DISTRICT,866
Valley View Junior High School,VALLEY VIEW SCHOOL DISTRICT,667
Riverside East Elem. School,RIVERSIDE SCHOOL DISTRICT,174
Riverside High School,RIVERSIDE SCHOOL DISTRICT,371
Riverside West Elem. School,RIVERSIDE SCHOOL DISTRICT,260
Alma Intermediate School,ALMA SCHOOL DISTRICT,723
Alma High School,ALMA SCHOOL DISTRICT,1010
Alma Middle School,ALMA SCHOOL DISTRICT,748
Alma Primary School,ALMA SCHOOL DISTRICT,668
Cedarville Elementary School,CEDARVILLE SCHOOL DISTRICT,279
Cedarville High School,CEDARVILLE SCHOOL DISTRICT,282
Cedarville Middle School,CEDARVILLE SCHOOL DISTRICT,242
Mountainburg Elementary School,MOUNTAINBURG SCHOOL DISTRICT,234
Mountainburg High School,MOUNTAINBURG SCHOOL DISTRICT,212
Mountainburg Middle School,MOUNTAINBURG SCHOOL DISTRICT,185
Marvin Primary School,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,164
Mulberry High School,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,91
Pleasant View Campus School,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,107
City Heights Elementary School,VAN BUREN SCHOOL DISTRICT,376
King Elementary School,VAN BUREN SCHOOL DISTRICT,540
Central Elementary School,VAN BUREN SCHOOL DISTRICT,501
Butterfield Trail Middle Schoo,VAN BUREN SCHOOL DISTRICT,658
Van Buren High School,VAN BUREN SCHOOL DISTRICT,1309
James R. Tate Elem. School,VAN BUREN SCHOOL DISTRICT,395
Parkview Elementary School,VAN BUREN SCHOOL DISTRICT,467
Rena Elementary School,VAN BUREN SCHOOL DISTRICT,435
Northridge Middle School,VAN BUREN SCHOOL DISTRICT,627
Van Buren Freshman Academy,VAN BUREN SCHOOL DISTRICT,452
Earle Elementary School,EARLE SCHOOL DISTRICT,283
Earle High School,EARLE SCHOOL DISTRICT,293
Bragg Elementary School,WEST MEMPHIS SCHOOL DISTRICT,538
Faulk Elementary School,WEST MEMPHIS SCHOOL DISTRICT,640
Jackson Elementary School,WEST MEMPHIS SCHOOL DISTRICT,325
Maddux Elementary School,WEST MEMPHIS SCHOOL DISTRICT,479
Richland Elementary School,WEST MEMPHIS SCHOOL DISTRICT,549
Weaver Elementary School,WEST MEMPHIS SCHOOL DISTRICT,326
Wonder Elementary School,WEST MEMPHIS SCHOOL DISTRICT,343
East Junior High School,WEST MEMPHIS SCHOOL DISTRICT,311
West Junior High School,WEST MEMPHIS SCHOOL DISTRICT,491
Wonder Junior High School,WEST MEMPHIS SCHOOL DISTRICT,426
The Academies of West Memphis Charter School,WEST MEMPHIS SCHOOL DISTRICT,1083
Avondale Elementary School,MARION SCHOOL DISTRICT,542
Marion Elementary School,MARION SCHOOL DISTRICT,605
Marion Junior High School,MARION SCHOOL DISTRICT,619
Marion High School,MARION SCHOOL DISTRICT,868
Marion Middle School,MARION SCHOOL DISTRICT,631
Marion Intermediate School,MARION SCHOOL DISTRICT,577
Cross County Ele Tech Academy,CROSS COUNTY SCHOOL DISTRICT,308
Cross Cnty High A New Tech Sch,CROSS COUNTY SCHOOL DISTRICT,269
Wynne Primary School,WYNNE SCHOOL DISTRICT,597
Wynne Intermediate School,WYNNE SCHOOL DISTRICT,628
Wynne Junior High School,WYNNE SCHOOL DISTRICT,627
Wynne High School,WYNNE SCHOOL DISTRICT,782
Fordyce High School,FORDYCE SCHOOL DISTRICT,313
Fordyce Elementary Schools,FORDYCE SCHOOL DISTRICT,471
Central Elementary School,DUMAS SCHOOL DISTRICT,292
Dumas Junior High School,DUMAS SCHOOL DISTRICT,289
Dumas High School,DUMAS SCHOOL DISTRICT,315
Reed Elementary School,DUMAS SCHOOL DISTRICT,381
McGehee Elementary School,MCGEHEE SCHOOL DISTRICT,676
McGehee High School,MCGEHEE SCHOOL DISTRICT,494
Drew Central Elem. School,DREW CENTRAL SCHOOL DISTRICT,384
Drew Central High School,DREW CENTRAL SCHOOL DISTRICT,284
Drew Central Middle School,DREW CENTRAL SCHOOL DISTRICT,310
Monticello Elementary School,MONTICELLO SCHOOL DISTRICT,452
Monticello Middle School,MONTICELLO SCHOOL DISTRICT,386
Monticello High School,MONTICELLO SCHOOL DISTRICT,632
Monticello Intermediate School,MONTICELLO SCHOOL DISTRICT,489
Ida Burns Elementary School,CONWAY SCHOOL DISTRICT,404
Ellen Smith Elementary School,CONWAY SCHOOL DISTRICT,439
Carl Stuart Middle School,CONWAY SCHOOL DISTRICT,757
Conway High School,CONWAY SCHOOL DISTRICT,2000
Sallie Cone Preschool,N/A,N/A
Julia Lee Moore Elem. School,CONWAY SCHOOL DISTRICT,407
Florence Mattison Elem. School,CONWAY SCHOOL DISTRICT,501
Marguerite Vann Elem. School,CONWAY SCHOOL DISTRICT,419
Jim Stone Elementary School,CONWAY SCHOOL DISTRICT,414
Theodore Jones Elem. School,CONWAY SCHOOL DISTRICT,442
Bob Courtway Middle School,CONWAY SCHOOL DISTRICT,456
Ruth Doyle Middle School,CONWAY SCHOOL DISTRICT,583
Ray/Phyllis Simon Middle Schoo,CONWAY SCHOOL DISTRICT,466
Woodrow Cummins Elementary Sch,CONWAY SCHOOL DISTRICT,531
Carolyn Lewis Elementary Schoo,CONWAY SCHOOL DISTRICT,535
Conway Junior High School,CONWAY SCHOOL DISTRICT,1481
Greenbrier Eastside Elementary,GREENBRIER SCHOOL DISTRICT,416
Greenbrier High School,GREENBRIER SCHOOL DISTRICT,765
Greenbrier Middle School,GREENBRIER SCHOOL DISTRICT,532
Greenbrier Westside Elementary,GREENBRIER SCHOOL DISTRICT,413
Greenbrier Junior High School,GREENBRIER SCHOOL DISTRICT,549
Greenbrier Wooster Elementary,GREENBRIER SCHOOL DISTRICT,391
Greenbrier Springhill Elementary School,GREENBRIER SCHOOL DISTRICT,399
Guy-Perkins Elementary School,GUY-PERKINS SCHOOL DISTRICT,214
Guy-Perkins High School,GUY-PERKINS SCHOOL DISTRICT,165
Mayflower Elementary School,MAYFLOWER SCHOOL DISTRICT,390
Mayflower High School,MAYFLOWER SCHOOL DISTRICT,358
Mayflower Middle School,MAYFLOWER SCHOOL DISTRICT,313
Mt. Vernon/Enola Elem. School,MT. VERNON/ENOLA SCHOOL DISTRICT,258
Mt. Vernon/Enola High School,MT. VERNON/ENOLA SCHOOL DISTRICT,218
Vilonia Elementary School,VILONIA SCHOOL DISTRICT,485
Vilonia High School,VILONIA SCHOOL DISTRICT,718
Vilonia Primary School,VILONIA SCHOOL DISTRICT,448
Vilonia Freshman Academy,VILONIA SCHOOL DISTRICT,255
Vilonia Middle School,VILONIA SCHOOL DISTRICT,519
Frank Mitchell Intermediate School,VILONIA SCHOOL DISTRICT,771
Charleston Elementary School,CHARLESTON SCHOOL DISTRICT,489
Charleston High School,CHARLESTON SCHOOL DISTRICT,416
County Line Elementary School,COUNTY LINE SCHOOL DISTRICT,240
County Line High School,COUNTY LINE SCHOOL DISTRICT,196
Ozark Middle School,OZARK SCHOOL DISTRICT,291
Ozark Kindergarten School,OZARK SCHOOL DISTRICT,133
Elgin B. Milton Elem. School,OZARK SCHOOL DISTRICT,766
Ozark Junior High School,OZARK SCHOOL DISTRICT,295
Ozark High School,OZARK SCHOOL DISTRICT,360
Mammoth Spring Elem. School,MAMMOTH SPRING SCHOOL DISTRICT,230
Mammoth Spring High School,MAMMOTH SPRING SCHOOL DISTRICT,212
Salem Elementary School,SALEM SCHOOL DISTRICT,439
Salem High School,SALEM SCHOOL DISTRICT,366
Viola Elementary School,VIOLA SCHOOL DISTRICT,208
Viola High School,VIOLA SCHOOL DISTRICT,171
Cutter-Morning Star Elem. Sch.,CUTTER-MORNING STAR SCHOOL DISTRICT,312
Cutter-Morning Star High Sch.,CUTTER-MORNING STAR SCHOOL DISTRICT,284
Fountain Lake Elementary,FOUNTAIN LAKE SCHOOL DISTRICT,506
Fountain Lake Middle School Cobra Digital Prep Academy,FOUNTAIN LAKE SCHOOL DISTRICT,434
Fountain Lake Charter High School,FOUNTAIN LAKE SCHOOL DISTRICT,435
Gardner Stem Magnet School,HOT SPRINGS SCHOOL DISTRICT,422
Oaklawn Magnet School,HOT SPRINGS SCHOOL DISTRICT,600
Park Magnet School,HOT SPRINGS SCHOOL DISTRICT,265
Hot Springs Middle School,HOT SPRINGS SCHOOL DISTRICT,503
Langston Magnet School,HOT SPRINGS SCHOOL DISTRICT,362
Hot Springs Intermediate School,HOT SPRINGS SCHOOL DISTRICT,511
Hot Springs World Class High School,HOT SPRINGS SCHOOL DISTRICT,880
Jessieville Elementary School,JESSIEVILLE SCHOOL DISTRICT,398
Jessieville High School,JESSIEVILLE SCHOOL DISTRICT,260
Jessieville Middle School,JESSIEVILLE SCHOOL DISTRICT,214
Lake Hamilton Elementary Sch,LAKE HAMILTON SCHOOL DISTRICT,697
Lake Hamilton High School,LAKE HAMILTON SCHOOL DISTRICT,978
Lake Hamilton Jr. High School,LAKE HAMILTON SCHOOL DISTRICT,674
Lake Hamilton Interm. School,LAKE HAMILTON SCHOOL DISTRICT,671
